Table Coordinates: (398.59, 284.21, 399.06998, 300.28999999999996), Width: 0.47998000000001184, Height: 16.079999999999984
Table Coordinates: (484.06, 284.21, 484.54001, 300.28999999999996), Width: 0.48000999999999294, Height: 16.079999999999984
Table Coordinates: (128.06, 283.73, 128.54001, 284.21001), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (128.54, 283.73, 209.084, 284.21001), Width: 80.54400000000001, Height: 0.48000999999999294
Table Coordinates: (209.09, 283.73, 209.57001, 284.21001), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (209.57, 283.73, 299.09, 284.21001), Width: 89.51999999999998, Height: 0.48000999999999294
Table Coordinates: (299.09, 283.73, 299.56998, 284.21001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (299.57, 283.73, 398.594, 284.21001), Width: 99.024, Height: 0.48000999999999294
Table Coordinates: (398.59, 283.73, 399.06998, 284.21001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (399.07, 283.73, 484.054, 284.21001), Width: 84.98399999999998, Height: 0.48000999999999294
Table Coordinates: (484.06, 283.73, 484.54001, 284.21001), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (128.06, 267.53, 128.54001, 283.72999999999996), Width: 0.48000999999999294, Height: 16.19999999999999
Table Coordinates: (128.06, 267.05, 128.54001, 267.53004), Width: 0.48000999999999294, Height: 0.48003999999997404
Table Coordinates: (128.06, 267.05, 128.54001, 267.53004), Width: 0.48000999999999294, Height: 0.48003999999997404
Table Coordinates: (128.54, 267.05, 209.084, 267.53004), Width: 80.54400000000001, Height: 0.48003999999997404
Table Coordinates: (209.09, 267.53, 209.57001, 283.72999999999996), Width: 0.48000999999999294, Height: 16.19999999999999
Table Coordinates: (209.09, 267.05, 209.57001, 267.53004), Width: 0.48000999999999294, Height: 0.48003999999997404
Table Coordinates: (209.57, 267.05, 299.09, 267.53004), Width: 89.51999999999998, Height: 0.48003999999997404
Table Coordinates: (299.09, 267.53, 299.56998, 283.72999999999996), Width: 0.47998000000001184, Height: 16.19999999999999
Table Coordinates: (299.09, 267.05, 299.56998, 267.53004), Width: 0.47998000000001184, Height: 0.48003999999997404
Table Coordinates: (299.57, 267.05, 398.594, 267.53004), Width: 99.024, Height: 0.48003999999997404
Table Coordinates: (398.59, 267.53, 399.06998, 283.72999999999996), Width: 0.47998000000001184, Height: 16.19999999999999
